class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
A,5,1,2,"Left,Right",2025-12-03T18:32:20.368419,-1,0.11120851337909698,0.7380332946777344,7.0723653600168745e-09,0.19638055562973022
A,5,2,2,"Left,Right",2025-12-03T18:32:20.907330,-1,0.12265127897262573,0.7232668995857239,2.4026444833680216e-08,0.20139968395233154
A,5,3,2,"Left,Right",2025-12-03T18:32:21.453372,-1,0.12595146894454956,0.7225238680839539,4.5885681032586945e-08,0.20794819295406342
A,5,4,2,"Left,Right",2025-12-03T18:32:21.997454,-1,0.12505048513412476,0.7239283919334412,2.597383819136212e-08,0.20756924152374268
A,5,5,2,"Left,Right",2025-12-03T18:32:22.562751,-1,0.12296146154403687,0.7189361453056335,2.9336471030205757e-08,0.20365571975708008
A,5,6,2,"Left,Right",2025-12-03T18:32:23.107935,-1,0.1208859533071518,0.7172595262527466,1.8947975632954694e-08,0.20271024107933044
A,5,7,2,"Left,Right",2025-12-03T18:32:23.639884,-1,0.124954953789711,0.7118937969207764,1.2852389374984341e-08,0.2038055658340454
A,5,8,2,"Left,Right",2025-12-03T18:32:24.178384,-1,0.12489311397075653,0.7129716873168945,4.817202192697323e-09,0.20363597571849823
A,5,9,2,"Left,Right",2025-12-03T18:32:24.731363,-1,0.13030359148979187,0.7077445387840271,-1.6011431069884452e-09,0.20736953616142273
A,5,10,2,"Left,Right",2025-12-03T18:32:25.310248,-1,0.12992596626281738,0.7019960880279541,2.241170360406386e-09,0.20581290125846863
