class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
C,8,1,1,Left,2025-12-03T18:43:56.478604,-1,0.2836562991142273,0.6851707100868225,1.7126865259342594e-07,0.3770664930343628
C,8,2,1,Left,2025-12-03T18:43:57.032926,-1,0.28706812858581543,0.683276891708374,1.5959878396643035e-07,0.3775149881839752
C,8,3,1,Left,2025-12-03T18:43:57.608991,-1,0.29142969846725464,0.6884264349937439,1.4826601102413406e-07,0.3823619484901428
C,8,4,1,Left,2025-12-03T18:43:58.157166,-1,0.2916882038116455,0.6834842562675476,1.6831587856813712e-07,0.38216567039489746
C,8,5,1,Left,2025-12-03T18:43:58.713427,-1,0.28892725706100464,0.6850124597549438,1.730148113665564e-07,0.37588387727737427
C,8,6,1,Left,2025-12-03T18:43:59.273040,-1,0.28489547967910767,0.6835103034973145,1.3225583472831204e-07,0.37377798557281494
C,8,7,1,Left,2025-12-03T18:43:59.839143,-1,0.2841363549232483,0.6850197315216064,1.5925405705274898e-07,0.3744610548019409
C,8,8,1,Left,2025-12-03T18:44:00.425697,-1,0.28139162063598633,0.6838157176971436,1.400793365746722e-07,0.37124717235565186
C,8,9,1,Left,2025-12-03T18:44:00.980511,-1,0.28233596682548523,0.6809995174407959,1.3964312017833436e-07,0.3705877661705017
C,8,10,1,Left,2025-12-03T18:44:01.529465,-1,0.2824786305427551,0.6758205890655518,1.4732474085121794e-07,0.3692888915538788
