class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
D,10,1,2,"Left,Right",2026-01-27T21:09:31.986598,-1,0.31070059537887573,0.5466508269309998,1.202352173379495e-08,0.391972154378891
D,10,2,2,"Left,Right",2026-01-27T21:09:32.514714,-1,0.30609041452407837,0.5453878045082092,-1.894207013464211e-09,0.3914412260055542
D,10,3,2,"Left,Right",2026-01-27T21:09:33.062759,-1,0.30957484245300293,0.5462914109230042,8.531779727150024e-09,0.3939979672431946
D,10,4,2,"Left,Right",2026-01-27T21:09:33.609668,-1,0.3127509355545044,0.5452430248260498,3.7884444026303754e-08,0.3956236243247986
D,10,5,2,"Left,Right",2026-01-27T21:09:34.140597,-1,0.31420761346817017,0.5488841533660889,7.217137110160365e-09,0.40035152435302734
D,10,6,2,"Left,Right",2026-01-27T21:09:34.710635,-1,0.3099071979522705,0.5508016347885132,2.7456637852196764e-08,0.3981490135192871
D,10,7,2,"Left,Right",2026-01-27T21:09:35.246423,-1,0.31306135654449463,0.5519691705703735,3.406713844356091e-08,0.3958604335784912
D,10,8,2,"Left,Right",2026-01-27T21:09:35.811478,-1,0.31745192408561707,0.550317108631134,3.997576669689806e-08,0.40126603841781616
D,10,9,2,"Left,Right",2026-01-27T21:09:36.357796,-1,0.3173571228981018,0.5522367358207703,2.7941847946522103e-08,0.40050625801086426
D,10,10,2,"Left,Right",2026-01-27T21:09:36.903539,-1,0.32070285081863403,0.5513910055160522,2.668906340375088e-08,0.40002262592315674
