class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
E,5,1,1,Left,2025-12-04T13:39:01.957960,-1,0.3184095621109009,0.6385539770126343,4.5976887008691847e-07,0.35592085123062134
E,5,2,1,Left,2025-12-04T13:39:02.468773,-1,0.3178284168243408,0.6360538005828857,4.49567295390807e-07,0.35415753722190857
E,5,3,1,Left,2025-12-04T13:39:03.064695,-1,0.3115955591201782,0.6620464324951172,4.6719296165065316e-07,0.3478984236717224
E,5,4,1,Left,2025-12-04T13:39:03.622014,-1,0.3087158203125,0.7077044248580933,4.5000399495620513e-07,0.34586232900619507
E,5,5,1,Left,2025-12-04T13:39:04.184047,-1,0.311713844537735,0.7063432931900024,3.887586501605256e-07,0.34902992844581604
E,5,6,1,Left,2025-12-04T13:39:04.725197,-1,0.3148486614227295,0.6408796310424805,4.620122524556791e-07,0.3527756929397583
E,5,7,1,Left,2025-12-04T13:39:05.291099,-1,0.3379821181297302,0.6045811772346497,4.883262363364338e-07,0.37287452816963196
E,5,8,1,Left,2025-12-04T13:39:05.857538,-1,0.34247809648513794,0.6117100119590759,4.534575168690935e-07,0.37787288427352905
E,5,9,1,Left,2025-12-04T13:39:06.435456,-1,0.3452998399734497,0.615384578704834,4.607201447015541e-07,0.37939292192459106
E,5,10,1,Left,2025-12-04T13:39:06.999524,-1,0.3457834720611572,0.6275209784507751,4.736093615065329e-07,0.3813052177429199
