class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
F,9,1,2,"Left,Right",2025-12-04T18:47:40.708435,-1,0.25415968894958496,0.3946310877799988,1.036415255839529e-06,0.31197816133499146
F,9,2,2,"Left,Right",2025-12-04T18:47:41.260676,-1,0.2571585774421692,0.3941577970981598,1.0220744570688112e-06,0.31035006046295166
F,9,3,2,"Left,Right",2025-12-04T18:47:41.824280,-1,0.25786513090133667,0.39215022325515747,1.0458700216986472e-06,0.31238871812820435
F,9,4,2,"Left,Right",2025-12-04T18:47:42.374131,-1,0.2561861276626587,0.3953150808811188,1.0583144103293307e-06,0.30790191888809204
F,9,5,2,"Left,Right",2025-12-04T18:47:42.921615,-1,0.25050216913223267,0.39574337005615234,1.0112422614838579e-06,0.30315229296684265
F,9,6,2,"Left,Right",2025-12-04T18:47:43.471275,-1,0.25299710035324097,0.39569440484046936,1.0751949730547494e-06,0.3011855483055115
F,9,7,2,"Left,Right",2025-12-04T18:47:44.006689,-1,0.2561473846435547,0.3990114629268646,1.0274268333887449e-06,0.3052881956100464
F,9,8,2,"Left,Right",2025-12-04T18:47:44.553320,-1,0.2583986520767212,0.3933144807815552,1.0575521400824073e-06,0.3088116943836212
F,9,9,2,"Left,Right",2025-12-04T18:47:45.101934,-1,0.2543894648551941,0.39945849776268005,1.0451373100295314e-06,0.30538010597229004
F,9,10,2,"Left,Right",2025-12-04T18:47:45.670860,-1,0.2533251643180847,0.4007779359817505,1.0283545179845532e-06,0.3056071996688843
