class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
H,9,1,2,"Left,Right",2026-01-28T08:46:54.935268,-1,0.2574073374271393,0.8393763303756714,6.89700641487434e-07,0.33292365074157715
H,9,2,2,"Left,Right",2026-01-28T08:46:55.445682,-1,0.25809919834136963,0.8325454592704773,7.242624633363448e-07,0.3364122211933136
H,9,3,2,"Left,Right",2026-01-28T08:46:55.995580,-1,0.2541137933731079,0.8441540002822876,7.046912742225686e-07,0.3299916088581085
H,9,4,2,"Left,Right",2026-01-28T08:46:56.544587,-1,0.26139795780181885,0.8385840654373169,7.373354264927912e-07,0.339061439037323
H,9,5,2,"Left,Right",2026-01-28T08:46:57.096761,-1,0.26079514622688293,0.839810848236084,7.51871823467809e-07,0.3338857591152191
H,9,6,2,"Left,Right",2026-01-28T08:46:57.650736,-1,0.261277973651886,0.8388345241546631,7.413610205730947e-07,0.3349767327308655
H,9,7,2,"Left,Right",2026-01-28T08:46:58.150836,-1,0.2594712972640991,0.8489266037940979,7.334364227062906e-07,0.33540675044059753
H,9,8,2,"Left,Right",2026-01-28T08:46:58.696762,-1,0.26116177439689636,0.8374373316764832,7.738769340903673e-07,0.33591049909591675
H,9,9,2,"Left,Right",2026-01-28T08:46:59.237514,-1,0.26203417778015137,0.8362534642219543,7.653918032701768e-07,0.33688417077064514
H,9,10,2,"Left,Right",2026-01-28T08:46:59.737951,-1,0.2576653063297272,0.8456941246986389,7.243695563374786e-07,0.3323265314102173
