class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
J,9,1,1,Left,2025-12-04T20:33:19.293444,-1,0.4114919900894165,0.3995695412158966,-3.135557733457972e-07,0.42817628383636475
J,9,2,1,Left,2025-12-04T20:33:19.841438,-1,0.41036778688430786,0.3992074131965637,-2.869971069685562e-07,0.4248221516609192
J,9,3,1,Left,2025-12-04T20:33:20.391201,-1,0.40858426690101624,0.40461477637290955,-2.965520309317071e-07,0.4256456792354584
J,9,4,1,Left,2025-12-04T20:33:20.893479,-1,0.41219574213027954,0.39367225766181946,-2.8088564363315527e-07,0.430887907743454
J,9,5,1,Left,2025-12-04T20:33:21.440586,-1,0.40969932079315186,0.3994237184524536,-2.7888702902600926e-07,0.4256386160850525
J,9,6,1,Left,2025-12-04T20:33:21.994189,-1,0.41276901960372925,0.3990893065929413,-3.2088962598209037e-07,0.4264727234840393
J,9,7,1,Left,2025-12-04T20:33:22.543525,-1,0.4152301549911499,0.39571040868759155,-3.23916907518651e-07,0.4321146607398987
J,9,8,1,Left,2025-12-04T20:33:23.083304,-1,0.4165148138999939,0.3953985571861267,-2.925223441252456e-07,0.4330326318740845
J,9,9,1,Left,2025-12-04T20:33:23.592750,-1,0.42412006855010986,0.40039145946502686,-2.580194120582746e-07,0.4394766092300415
J,9,10,1,Left,2025-12-04T20:33:24.094954,-1,0.4197792410850525,0.3969848155975342,-2.8241254312888486e-07,0.4358278512954712
