class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
K,4,1,2,"Left,Right",2026-01-28T09:03:49.390200,-1,0.33319801092147827,0.34106507897377014,-2.0358736207981565e-07,0.4067377746105194
K,4,2,2,"Left,Right",2026-01-28T09:03:49.892742,-1,0.33860647678375244,0.34024250507354736,-9.352558549835521e-08,0.4101545214653015
K,4,3,2,"Left,Right",2026-01-28T09:03:50.398169,-1,0.3336222171783447,0.338377982378006,-1.1245430897588449e-07,0.40730932354927063
K,4,4,2,"Left,Right",2026-01-28T09:03:50.898423,-1,0.3349480926990509,0.3403273820877075,-1.4006533888277772e-07,0.40705692768096924
K,4,5,2,"Left,Right",2026-01-28T09:03:51.452775,-1,0.3354141116142273,0.3421381115913391,-1.766354955634597e-07,0.40879714488983154
K,4,6,2,"Left,Right",2026-01-28T09:03:51.982897,-1,0.3446089029312134,0.33882594108581543,-1.6401251912157022e-07,0.41478294134140015
K,4,7,2,"Left,Right",2026-01-28T09:03:52.485723,-1,0.3355935215950012,0.33714625239372253,-1.5443571044215787e-07,0.4093765914440155
K,4,8,2,"Left,Right",2026-01-28T09:03:53.002612,-1,0.34343814849853516,0.34036940336227417,-2.1649904624609917e-07,0.41551244258880615
K,4,9,2,"Left,Right",2026-01-28T09:03:53.531912,-1,0.33485737442970276,0.3360837996006012,-3.116292361937667e-07,0.40967559814453125
K,4,10,2,"Left,Right",2026-01-28T09:03:54.052578,-1,0.3336137533187866,0.3367566168308258,-2.4806709575386776e-07,0.40661177039146423
