class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
M,2,1,2,"Left,Right",2026-01-28T11:03:47.784975,-1,0.4679277837276459,0.9332441091537476,2.5599814534871257e-07,0.4432390332221985
M,2,2,2,"Left,Right",2026-01-28T11:03:48.326399,-1,0.4693830907344818,0.9254666566848755,2.8178192224004306e-07,0.4458816349506378
M,2,3,2,"Left,Right",2026-01-28T11:03:48.861742,-1,0.4662202000617981,0.924463152885437,2.5420575866519357e-07,0.43594890832901
M,2,4,2,"Left,Right",2026-01-28T11:03:49.377687,-1,0.4730575680732727,0.9099146723747253,2.97660221804108e-07,0.4483766555786133
M,2,5,2,"Left,Right",2026-01-28T11:03:49.878881,-1,0.47266510128974915,0.923191249370575,1.5363764305220684e-07,0.4517909288406372
M,2,6,2,"Left,Right",2026-01-28T11:03:50.440504,-1,0.4706628918647766,0.9221971035003662,1.9299319831134198e-07,0.447767436504364
M,2,7,2,"Left,Right",2026-01-28T11:03:50.986979,-1,0.4700412154197693,0.9180218577384949,2.554698141921108e-07,0.44470304250717163
M,2,8,2,"Left,Right",2026-01-28T11:03:51.527761,-1,0.46184197068214417,0.9179056286811829,2.2309500025130546e-07,0.43874406814575195
M,2,9,2,"Left,Right",2026-01-28T11:03:52.042707,-1,0.4722657799720764,0.9083105325698853,2.5919197810253536e-07,0.4488197863101959
M,2,10,2,"Left,Right",2026-01-28T11:03:52.596156,-1,0.47204092144966125,0.9091342091560364,2.1068238709176512e-07,0.4485906660556793
