class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
N,3,1,2,"Left,Right",2025-12-05T22:44:30.108431,-1,0.44263729453086853,0.805743932723999,4.236998449869134e-07,0.44872498512268066
N,3,2,2,"Left,Right",2025-12-05T22:44:30.667303,-1,0.4373183250427246,0.8030780553817749,4.4987686464992294e-07,0.4482327997684479
N,3,3,2,"Left,Right",2025-12-05T22:44:31.167570,-1,0.4421505928039551,0.8032241463661194,4.5713403551417287e-07,0.4504757523536682
N,3,4,2,"Left,Right",2025-12-05T22:44:31.712706,-1,0.44379502534866333,0.805708646774292,4.5622792299582215e-07,0.4503394663333893
N,3,5,2,"Left,Right",2025-12-05T22:44:32.269599,-1,0.44262224435806274,0.8084862232208252,4.3656342540998594e-07,0.45181480050086975
N,3,6,2,"Left,Right",2025-12-05T22:44:32.821452,-1,0.44260671734809875,0.8071197867393494,4.870504994869407e-07,0.45264142751693726
N,3,7,2,"Left,Right",2025-12-05T22:44:33.351747,-1,0.44386255741119385,0.8040724396705627,5.184597284824122e-07,0.45242923498153687
N,3,8,2,"Left,Right",2025-12-05T22:44:33.874615,-1,0.4441727101802826,0.803923487663269,5.036621359977289e-07,0.45484593510627747
N,3,9,2,"Left,Right",2025-12-05T22:44:34.409624,-1,0.4421388506889343,0.8065296411514282,4.872664476351929e-07,0.45224714279174805
N,3,10,2,"Left,Right",2025-12-05T22:44:34.920618,-1,0.4440772235393524,0.8036505579948425,4.4025011902704136e-07,0.45640307664871216
