class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
P,5,1,2,"Left,Right",2026-01-28T14:11:06.682238,-1,0.28612014651298523,0.5009485483169556,1.1057591109420173e-07,0.3549507260322571
P,5,2,2,"Left,Right",2026-01-28T14:11:07.217258,-1,0.2991024851799011,0.4822254478931427,9.595277816742964e-08,0.3680153787136078
P,5,3,2,"Left,Right",2026-01-28T14:11:07.746080,-1,0.2912384867668152,0.4723755717277527,9.964857383693015e-08,0.35834404826164246
P,5,4,2,"Left,Right",2026-01-28T14:11:08.327112,-1,0.2917465269565582,0.4718874990940094,9.9826841903905e-08,0.3605625331401825
P,5,5,2,"Left,Right",2026-01-28T14:11:08.872068,-1,0.29232409596443176,0.4714357852935791,1.0534783712046192e-07,0.360646516084671
P,5,6,2,"Left,Right",2026-01-28T14:11:09.405231,-1,0.2835412323474884,0.47584784030914307,7.895614118069716e-08,0.35147514939308167
P,5,7,2,"Left,Right",2026-01-28T14:11:09.953861,-1,0.2805970311164856,0.47662073373794556,1.3158435763216403e-07,0.35009199380874634
P,5,8,2,"Left,Right",2026-01-28T14:11:10.480484,-1,0.2826806604862213,0.47716614603996277,9.054639349415083e-08,0.3518844246864319
P,5,9,2,"Left,Right",2026-01-28T14:11:11.017545,-1,0.28400641679763794,0.47902247309684753,1.0642327907817162e-07,0.35198861360549927
P,5,10,2,"Left,Right",2026-01-28T14:11:11.568364,-1,0.2844035029411316,0.47640734910964966,1.0283135054578452e-07,0.3535943031311035
