class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
Q,1,1,2,"Left,Right",2026-01-28T11:25:37.974675,-1,0.21222065389156342,0.8727157711982727,-2.761850836918711e-08,0.3037949502468109
Q,1,2,2,"Left,Right",2026-01-28T11:25:38.520283,-1,0.21404799818992615,0.8743135929107666,4.2718742321312675e-08,0.30519354343414307
Q,1,3,2,"Left,Right",2026-01-28T11:25:39.033682,-1,0.21227432787418365,0.8746504187583923,3.11483319137551e-08,0.30022621154785156
Q,1,4,2,"Left,Right",2026-01-28T11:25:39.636135,-1,0.2130969762802124,0.8773225545883179,6.551488951345164e-08,0.29871073365211487
Q,1,5,2,"Left,Right",2026-01-28T11:25:40.170017,-1,0.21526291966438293,0.8756873607635498,1.005271457188428e-07,0.30101096630096436
Q,1,6,2,"Left,Right",2026-01-28T11:25:40.727164,-1,0.21078704297542572,0.8767300844192505,8.34520648140824e-08,0.3006637990474701
Q,1,7,2,"Left,Right",2026-01-28T11:25:41.260167,-1,0.21280567348003387,0.8781569004058838,1.7128042983927116e-08,0.30031198263168335
Q,1,8,2,"Left,Right",2026-01-28T11:25:41.775203,-1,0.21286599338054657,0.8759605884552002,5.3233243590966595e-08,0.3000513017177582
Q,1,9,2,"Left,Right",2026-01-28T11:25:42.322778,-1,0.2175489366054535,0.8737964630126953,-9.851519600090342e-09,0.3072740137577057
Q,1,10,2,"Left,Right",2026-01-28T11:25:42.866160,-1,0.2180866003036499,0.8698732256889343,1.5547277909533364e-09,0.3064902424812317
