class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
R,7,1,1,Left,2026-01-28T11:32:38.724185,-1,0.47341516613960266,0.7240110635757446,5.4034211416365e-07,0.5436132550239563
R,7,2,1,Left,2026-01-28T11:32:39.284020,-1,0.47602003812789917,0.7192823886871338,5.094046855447232e-07,0.5430700778961182
R,7,3,1,Left,2026-01-28T11:32:39.852406,-1,0.4754860997200012,0.724461019039154,4.895551342087856e-07,0.5453888773918152
R,7,4,1,Left,2026-01-28T11:32:40.417990,-1,0.4753228425979614,0.7244707345962524,5.078064759800327e-07,0.5438547730445862
R,7,5,1,Left,2026-01-28T11:32:40.985635,-1,0.4736752212047577,0.7244842052459717,4.948329319631739e-07,0.5438477993011475
R,7,6,1,Left,2026-01-28T11:32:41.535234,-1,0.47681158781051636,0.7218523025512695,4.839608891415992e-07,0.5451349020004272
R,7,7,1,Left,2026-01-28T11:32:42.089973,-1,0.47510042786598206,0.7219496965408325,4.850373898079852e-07,0.5452131628990173
R,7,8,1,Left,2026-01-28T11:32:42.652557,-1,0.4744358956813812,0.7232005596160889,4.780702056450536e-07,0.5435581803321838
R,7,9,1,Left,2026-01-28T11:32:43.210310,-1,0.47414061427116394,0.7210280895233154,4.3789992787424126e-07,0.5440366268157959
R,7,10,1,Left,2026-01-28T11:32:43.759869,-1,0.476184219121933,0.7221131324768066,4.5883393795520533e-07,0.5434291958808899
