class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
T,8,1,2,"Left,Right",2025-12-06T11:05:29.578327,-1,0.2064940482378006,0.3399241864681244,1.91412503625088e-08,0.2918703854084015
T,8,2,2,"Left,Right",2025-12-06T11:05:30.088991,-1,0.21428802609443665,0.34677839279174805,1.1051862536248791e-08,0.29898202419281006
T,8,3,2,"Left,Right",2025-12-06T11:05:30.651718,-1,0.20973695814609528,0.3474588990211487,1.3084558325715534e-08,0.2935943603515625
T,8,4,2,"Left,Right",2025-12-06T11:05:31.153526,-1,0.2107844054698944,0.35407519340515137,2.038047774988172e-08,0.29501813650131226
T,8,5,2,"Left,Right",2025-12-06T11:05:31.732396,-1,0.22010186314582825,0.3585048317909241,2.485648664674045e-08,0.29997050762176514
T,8,6,2,"Left,Right",2025-12-06T11:05:32.301635,-1,0.216695636510849,0.3630349040031433,1.61790048025523e-08,0.3007206320762634
T,8,7,2,"Left,Right",2025-12-06T11:05:32.855670,-1,0.21980983018875122,0.3648397922515869,1.743745769999805e-08,0.2987908720970154
T,8,8,2,"Left,Right",2025-12-06T11:05:33.421674,-1,0.23334865272045135,0.3693976104259491,3.229337863785986e-08,0.3129539489746094
T,8,9,2,"Left,Right",2025-12-06T11:05:33.980984,-1,0.23487766087055206,0.36804914474487305,-1.6713487482888922e-08,0.3133721947669983
T,8,10,2,"Left,Right",2025-12-06T11:05:34.536148,-1,0.2379096895456314,0.3709075450897217,2.6275575493173164e-08,0.3154291808605194
