class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
V,3,1,1,Left,2026-01-28T11:50:12.371101,-1,0.37041977047920227,0.845864474773407,7.009869023022475e-07,0.4203060269355774
V,3,2,1,Left,2026-01-28T11:50:12.917205,-1,0.3709944784641266,0.8411087989807129,7.048472525639227e-07,0.419915109872818
V,3,3,1,Left,2026-01-28T11:50:13.478356,-1,0.36783304810523987,0.8413087129592896,7.118077860468475e-07,0.4172053933143616
V,3,4,1,Left,2026-01-28T11:50:14.044181,-1,0.36782586574554443,0.8401556611061096,7.013621825535665e-07,0.4179948568344116
V,3,5,1,Left,2026-01-28T11:50:14.615110,-1,0.36671072244644165,0.8437630534172058,6.987545475567458e-07,0.4151389002799988
V,3,6,1,Left,2026-01-28T11:50:15.168446,-1,0.3605273962020874,0.8432612419128418,6.936338650120888e-07,0.41022664308547974
V,3,7,1,Left,2026-01-28T11:50:15.714507,-1,0.3631542921066284,0.8500068187713623,7.059627478156472e-07,0.4124941825866699
V,3,8,1,Left,2026-01-28T11:50:16.276487,-1,0.36544379591941833,0.8402143120765686,7.012071137069142e-07,0.41495734453201294
V,3,9,1,Left,2026-01-28T11:50:16.831600,-1,0.3675437271595001,0.8387300968170166,6.921880526533641e-07,0.41525837779045105
V,3,10,1,Left,2026-01-28T11:50:17.381649,-1,0.3639281988143921,0.829605758190155,6.841052595518704e-07,0.41476941108703613
