class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
W,1,1,2,"Left,Right",2026-01-28T11:53:53.230866,-1,0.38706064224243164,0.9062517285346985,-5.2582091569775e-08,0.43999379873275757
W,1,2,2,"Left,Right",2026-01-28T11:53:53.772787,-1,0.39642542600631714,0.8979957103729248,-2.133960741446117e-08,0.4441734552383423
W,1,3,2,"Left,Right",2026-01-28T11:53:54.324780,-1,0.38247954845428467,0.9073987007141113,-5.311417083930792e-08,0.43801379203796387
W,1,4,2,"Left,Right",2026-01-28T11:53:54.870260,-1,0.3899749219417572,0.9109752774238586,-5.759030941021592e-08,0.44418755173683167
W,1,5,2,"Left,Right",2026-01-28T11:53:55.396041,-1,0.3767779767513275,0.9147027730941772,-5.846881734328235e-08,0.43597331643104553
W,1,6,2,"Left,Right",2026-01-28T11:53:55.940880,-1,0.3901720643043518,0.9024139642715454,3.672009807331733e-09,0.44233500957489014
W,1,7,2,"Left,Right",2026-01-28T11:53:56.458608,-1,0.3809775412082672,0.9057971835136414,-4.7047251428011805e-08,0.4365103542804718
W,1,8,2,"Left,Right",2026-01-28T11:53:56.999800,-1,0.38920146226882935,0.9016681909561157,-2.452547276377004e-09,0.44258221983909607
W,1,9,2,"Left,Right",2026-01-28T11:53:57.550064,-1,0.3759304881095886,0.9106262922286987,-4.624869021085942e-08,0.43674367666244507
W,1,10,2,"Left,Right",2026-01-28T11:53:58.091504,-1,0.39312341809272766,0.8976430892944336,-1.2502544777248659e-08,0.44210225343704224
