class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
X,6,1,2,"Left,Right",2026-01-28T12:01:50.687729,-1,0.2058592140674591,0.803657591342926,7.083227870907649e-08,0.28905558586120605
X,6,2,2,"Left,Right",2026-01-28T12:01:51.216147,-1,0.20452724397182465,0.8048837184906006,1.6152741366681767e-08,0.29135045409202576
X,6,3,2,"Left,Right",2026-01-28T12:01:51.751503,-1,0.2048381268978119,0.8088481426239014,1.945055494445569e-08,0.2877458333969116
X,6,4,2,"Left,Right",2026-01-28T12:01:52.276234,-1,0.20366966724395752,0.8017023205757141,8.92839651100985e-08,0.2875845432281494
X,6,5,2,"Left,Right",2026-01-28T12:01:52.828543,-1,0.204965740442276,0.8016659021377563,7.196553752919499e-08,0.28524842858314514
X,6,6,2,"Left,Right",2026-01-28T12:01:53.378816,-1,0.2053889036178589,0.8041890859603882,5.5203631887934534e-08,0.289848268032074
X,6,7,2,"Left,Right",2026-01-28T12:01:53.906447,-1,0.20885996520519257,0.8049591183662415,4.055388558299455e-08,0.29519766569137573
X,6,8,2,"Left,Right",2026-01-28T12:01:54.427951,-1,0.210130512714386,0.8034562468528748,5.758215571027847e-10,0.30056431889533997
X,6,9,2,"Left,Right",2026-01-28T12:01:55.023598,-1,0.228102907538414,0.7959609031677246,6.362774485069167e-08,0.30385297536849976
X,6,10,2,"Left,Right",2026-01-28T12:01:55.617598,-1,0.2357824444770813,0.7913053035736084,1.2867521093085088e-07,0.3087034225463867
