class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
Y,8,1,2,"Right,Right",2026-01-28T12:07:45.427388,0,0.0,0.0,0.0,0.0
Y,8,2,2,"Right,Right",2026-01-28T12:07:45.948263,0,0.0,0.0,0.0,0.0
Y,8,3,2,"Right,Right",2026-01-28T12:07:46.481340,0,0.0,0.0,0.0,0.0
Y,8,4,2,"Left,Right",2026-01-28T12:07:47.049134,-1,0.5093441009521484,0.5198891758918762,-1.3472568127781415e-07,0.47640910744667053
Y,8,5,2,"Right,Right",2026-01-28T12:07:47.606716,0,0.0,0.0,0.0,0.0
Y,8,6,2,"Right,Right",2026-01-28T12:07:48.173514,0,0.0,0.0,0.0,0.0
Y,8,7,2,"Right,Right",2026-01-28T12:07:48.703006,0,0.0,0.0,0.0,0.0
Y,8,8,2,"Right,Right",2026-01-28T12:07:49.227972,0,0.0,0.0,0.0,0.0
Y,8,9,2,"Right,Right",2026-01-28T12:07:49.772300,0,0.0,0.0,0.0,0.0
Y,8,10,2,"Right,Right",2026-01-28T12:07:50.303868,0,0.0,0.0,0.0,0.0
