class,batch,sample,hand_count,hand_types,timestamp,lm_0,lm_1,lm_2,lm_3,lm_4
Z,4,1,1,Left,2025-12-06T12:07:22.485300,-1,0.4726453423500061,0.5483260154724121,-4.714050660936664e-08,0.42953649163246155
Z,4,2,1,Left,2025-12-06T12:07:23.005259,-1,0.47400039434432983,0.5519726276397705,-9.091584729503666e-08,0.4276958405971527
Z,4,3,1,Left,2025-12-06T12:07:23.532110,-1,0.4730607569217682,0.5523521900177002,-8.053574163113808e-08,0.4249569773674011
Z,4,4,1,Left,2025-12-06T12:07:24.062778,-1,0.4703930616378784,0.5554932951927185,-8.599517542506874e-08,0.42379721999168396
Z,4,5,1,Left,2025-12-06T12:07:24.612047,-1,0.4762209951877594,0.5595487952232361,-8.694591713265254e-08,0.4306167960166931
Z,4,6,1,Left,2025-12-06T12:07:25.188430,-1,0.4725133180618286,0.5565024018287659,-7.597525808478167e-08,0.4251191318035126
Z,4,7,1,Left,2025-12-06T12:07:25.751432,-1,0.47386205196380615,0.5595480799674988,-1.039907715494337e-07,0.4296475052833557
Z,4,8,1,Left,2025-12-06T12:07:26.278398,-1,0.4715488851070404,0.5587278008460999,-7.884006691938339e-08,0.43736347556114197
Z,4,9,1,Left,2025-12-06T12:07:26.854104,-1,0.4738416373729706,0.5615027546882629,-1.646460106030645e-07,0.42734038829803467
Z,4,10,1,Left,2025-12-06T12:07:27.428342,-1,0.46921736001968384,0.5593990087509155,-1.0091813607004951e-07,0.4211122691631317
